Diam(km),3.0Gyr,3.5Gyr,3.7Gyr,4.0Gyr
2.00,307.20,512.00,2437.54,12667.28
2.38,224.88,374.81,1784.38,9272.99
2.83,164.62,274.37,1306.25,6788.23
3.36,120.51,200.85,956.23,4969.27
4.00,88.22,147.03,700.00,3637.72
4.76,64.58,107.63,512.43,2662.97
5.66,47.28,78.79,375.12,1949.41
6.73,34.61,57.68,274.60,1427.05
8.00,25.33,42.22,201.02,1044.66
9.51,18.55,30.91,147.16,764.74
11.31,13.58,22.63,107.73,559.82
13.45,9.94,16.56,78.86,409.81
16.00,7.28,12.13,57.73,300.00
19.03,5.33,8.88,42.26,219.61
22.63,3.90,6.50,30.94,160.77
26.91,2.85,4.76,22.65,117.69
32.00,2.09,3.48,16.58,86.15
38.05,1.53,2.55,12.14,63.07
45.25,1.12,1.87,8.88,46.17
53.82,0.82,1.37,6.50,33.80
64.00,0.60,1.00,4.76,24.74
76.11,0.44,0.73,3.49,18.11
90.51,0.32,0.54,2.55,13.26
107.63,0.24,0.39,1.87,9.71
128.00,0.17,0.29,1.37,7.10